architecture,seed,test_accuracy,test_f1,epochs_stage1,epochs_stage2,time_stage1_s,time_stage2_s
efficientnetb0,42,0.8846153846153846,0.8875449735449736,10,10,149.17101287841797,157.0473277568817
efficientnetb0,123,0.8692307692307693,0.8692996064218246,10,10,151.44111728668213,156.74291014671326
efficientnetb0,2024,0.8846153846153846,0.8843011625998514,10,10,150.35093641281128,133.94063091278076
efficientnetb0,7,0.9,0.9020518584245293,10,10,150.1909568309784,145.62609362602234
efficientnetb0,99,0.9,0.9003697478991597,10,10,150.02719473838806,158.65031361579895
